Source,../Data/sqlite_32.csv,../Data/sqlite_57.csv,../Data/sqlite_60.csv,../Data/sqlite_71.csv,../Data/sqlite_74.csv,../Data/sqlite_81.csv,../Data/sqlite_85.csv,../Data/sqlite_87.csv,../Data/sqlite_88.csv,../Data/sqlite_90.csv,../Data/sqlite_91.csv,../Data/sqlite_94.csv,../Data/sqlite_95.csv,../Data/sqlite_96.csv,../Data/sqlite_97.csv
../Data/sqlite_32.csv,X,5.0,5.5,8.0,8.0,1.5,2.0,3.0,6.5,2.5,4.0,3.5,4.0,4.5,3.5
../Data/sqlite_57.csv,4.0,X,4.5,3.5,4.5,7.0,3.0,3.5,3.5,5.0,3.0,2.5,8.0,4.0,5.0
../Data/sqlite_60.csv,5.5,4.0,X,4.0,2.0,7.0,5.5,4.0,4.5,4.5,2.5,5.0,7.0,3.5,5.0
../Data/sqlite_71.csv,4.0,3.0,3.0,X,4.5,9.5,3.5,6.5,3.5,5.0,3.5,5.0,4.5,3.0,7.0
../Data/sqlite_74.csv,6.0,3.5,5.5,3.0,X,7.0,4.0,2.0,1.5,6.5,4.0,4.0,5.5,3.5,6.0
../Data/sqlite_81.csv,3.0,9.5,9.0,8.5,7.5,X,6.0,7.5,9.0,5.5,3.0,4.0,4.5,6.0,5.5
../Data/sqlite_85.csv,4.0,3.0,2.0,4.0,3.0,5.0,X,3.5,2.5,5.0,4.5,4.0,6.0,4.0,4.0
../Data/sqlite_87.csv,3.0,5.5,5.0,4.0,7.0,2.0,2.5,X,5.0,3.0,5.0,5.0,3.0,5.0,3.0
../Data/sqlite_88.csv,6.5,5.0,1.5,2.0,3.5,5.5,2.5,2.5,X,5.0,2.0,3.5,4.5,5.0,4.5
../Data/sqlite_90.csv,2.0,5.0,4.0,5.0,4.5,3.5,3.0,1.0,2.0,X,4.0,2.5,3.5,3.0,5.5
../Data/sqlite_91.csv,6.0,3.5,4.0,3.5,4.5,2.5,4.0,2.0,2.5,3.0,X,4.0,4.5,3.5,4.5
../Data/sqlite_94.csv,2.5,4.0,4.0,4.5,4.5,4.0,4.0,3.5,5.0,6.5,7.5,X,4.5,6.0,5.0
../Data/sqlite_95.csv,6.0,5.0,6.0,3.5,5.0,4.0,3.5,7.5,4.5,3.0,3.0,7.5,X,2.5,3.0
../Data/sqlite_96.csv,2.0,2.5,3.5,4.5,4.5,5.0,7.0,4.0,1.5,4.0,1.5,3.5,4.5,X,3.0
../Data/sqlite_97.csv,2.0,6.5,5.5,7.0,6.0,4.0,4.5,6.0,5.5,5.0,3.0,5.0,2.5,4.5,X
